1430139211982 - info: 2015-04-27T12:53:31.974Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"824fcb90-e726-9e54-d4bf-72c321252dbb","aparams":[["edca46bc-3389-99a2-32c0-a59665fcb6a7"],{"rtype":"data","expr":10000,"subDbGuid":"1c570dce-4a50-d22c-6b59-b01024684520"},null],"func":"loadNewRoots"};8 ms
1430139211984 - info: 2015-04-27T12:53:31.984Z;deserialize;1 ms
1430139211985 - info: 2015-04-27T12:53:31.985Z;serialize;0 ms
1430139211986 - info: 2015-04-27T12:53:31.975Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"824fcb90-e726-9e54-d4bf-72c321252dbb","aparams":[["edca46bc-3389-99a2-32c0-a59665fcb6a7"],{"rtype":"data","expr":10000,"subDbGuid":"1c570dce-4a50-d22c-6b59-b01024684520"},null],"func":"loadNewRoots"};11 ms
1430139212045 - info: 2015-04-27T12:53:32.045Z;deserialize;1 ms
1430139212046 - info: 2015-04-27T12:53:32.046Z;serialize;1 ms
1430139212047 - info: 2015-04-27T12:53:32.043Z;remoteCall2:{"masterGuid":"fb41702c-faba-b5c0-63a8-8d553bfe54a6","objGuid":"824fcb90-e726-9e54-d4bf-72c321252dbb","aparams":[["edca46bc-3389-99a2-32c0-a59665fcb6a7"],{"rtype":"data","expr":10000,"subDbGuid":"1c570dce-4a50-d22c-6b59-b01024684520"},null],"func":"loadNewRoots"};4 ms
1430139212131 - info: 2015-04-27T12:53:32.130Z;sendDelta;0 ms
1430139212131 - info: 2015-04-27T12:53:32.131Z;sendDelta;0 ms
1430139623718 - info: 2015-04-27T13:00:23.711Z;connect;6 ms
1430139624729 - info: 2015-04-27T13:00:24.728Z;getGuids;0 ms
1430139624731 - info: 2015-04-27T13:00:24.730Z;testIntf;0 ms
1430139625717 - info: 2015-04-27T13:00:25.716Z;subscribe;1 ms
1430139626050 - info: 2015-04-27T13:00:26.048Z;connect;2 ms
1430139626056 - info: 2015-04-27T13:00:26.055Z;getGuids;1 ms
1430139626057 - info: 2015-04-27T13:00:26.057Z;testIntf;0 ms
1430139626063 - info: 2015-04-27T13:00:26.063Z;subscribe;0 ms
1430139626075 - info: 2015-04-27T13:00:26.072Z;subscribeManyRoots;3 ms
1430139626707 - info: 2015-04-27T13:00:26.705Z;subscribeManyRoots;2 ms
1430139652521 - info: 2015-04-27T13:00:52.520Z;connect;0 ms
1430139652526 - info: 2015-04-27T13:00:52.526Z;getGuids;0 ms
1430139652527 - info: 2015-04-27T13:00:52.527Z;testIntf;0 ms
1430139652532 - info: 2015-04-27T13:00:52.532Z;subscribe;0 ms
1430139652539 - info: 2015-04-27T13:00:52.536Z;subscribeManyRoots;3 ms
1430139654397 - info: 2015-04-27T13:00:54.395Z;authenticate;2 ms
1430139654404 - info: 2015-04-27T13:00:54.403Z;subscribeManyRoots;1 ms
1430139659199 - info: 2015-04-27T13:00:59.199Z;deserialize;12 ms
1430139659206 - info: 2015-04-27T13:00:59.206Z;serialize;6 ms
1430139659207 - info: 2015-04-27T13:00:59.163Z;createContext;44 ms
1430139659214 - info: 2015-04-27T13:00:59.213Z;subscribe;0 ms
